t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2010,600623,8.638,0.0033,0.8027,847.521,0.0087,0.19730000000000003,600623,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, of yarns of different colours"
2010,600624,61.991,0.022,0.8168,526.087,0.0054,0.18320000000000003,600624,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, printed"
2010,600631,1203.994,0.3708,0.7974,1336.593,0.0138,0.2026,600631,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, unbleached or bleached"
2010,600632,2640.697,0.1555,0.8062,14447.019,0.1502,0.19379999999999997,600632,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, dyed"
2010,600633,72.861,0.0403,0.8076,1948.286,0.0202,0.19240000000000002,600633,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, of yarns of different colours"
2010,600634,0.665,0.0002,0.8093,1979.221,0.0205,0.19069999999999998,600634,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, printed"
2010,600641,0.249,0.0005,0.7921,137.543,0.0014,0.20789999999999997,600641,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, unbleached or bleached"
2010,600642,441.635,0.0953,0.8173,1598.822,0.0166,0.18269999999999997,600642,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, dyed"
2010,600643,32.499,0.0624,0.8225,543.166,0.0056,0.1775,600643,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, of yarns of different colours"
2010,600644,251.805,0.1858,0.8188,693.083,0.0071,0.18120000000000003,600644,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, printed"
2010,600690,6466.175,1.0023,0.7517,1393.452,0.0144,0.24829999999999997,600690,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04,and other than those made of wool, fine animal hair, cotton, synthetic or artificial fibres"
2010,700600,1645.244,0.1014,0.8257,2345.811,0.0243,0.1743,700600,"Glass of heading no. 7003, 7004 or 7005: bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials"
2010,700991,2120.74,0.4208,0.7788,2215.929,0.023,0.22119999999999995,700991,"Glass mirrors: unframed, excluding rear-view mirrors for vehicles"
2010,720810,8686.135,1.8765,0.7109,6697.754,0.0696,0.2891,720810,"Iron or non-alloy steel: in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief"
2010,720825,1781.778,0.2304,0.7864,445.699,0.0046,0.2136,720825,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 4.75mm or more"
2010,720826,58847.711,3.5074,0.7419,3505.392,0.0364,0.2581,720826,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 3mm or more but less than 4.75mm"
2010,720827,55467.4,2.0548,0.7218,26004.69,0.2705,0.2782,720827,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of less than 3mm"
2010,720836,5904.609,0.4133,0.8049,1071.119,0.0111,0.19510000000000005,720836,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness exceeding 10mm"
2010,720837,38498.14,1.2576,0.7344,6469.315,0.0672,0.26559999999999995,720837,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of 4.75mm or more but not exceeding 10mm"
2010,720838,36841.282,0.8629,0.7768,3322.929,0.0345,0.22319999999999995,720838,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of 3mm or more but less than 4.75mm"
2010,720839,353277.422,3.4823,0.7215,27331.949,0.2843,0.27849999999999997,720839,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of less than 3mm"
2010,720840,2097.969,0.8609,0.7594,842.422,0.0087,0.24060000000000004,720840,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief"
2010,720851,38897.641,0.4464,0.7862,14913.101,0.1551,0.2138,720851,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness exceeding 10mm"
2010,720852,19477.51,0.8641,0.7524,8027.601,0.0834,0.24760000000000004,720852,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 4.75mm or more but not exceeding 10mm"
2010,720853,6566.085,1.0793,0.7106,257.684,0.0026,0.2894,720853,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 3mm or more but less than 4.75mm"
2010,720854,21899.35,6.427,0.7116,139.619,0.0014,0.2884,720854,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of less than 3mm"
2010,720890,34043.586,3.3558,0.7197,7976.37,0.0829,0.2803,720890,"Iron or non-alloy steel: flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208"
2010,720915,6314.966,2.6004,0.7352,764.565,0.0079,0.26480000000000004,720915,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more"
2010,720916,36707.889,1.007,0.7341,6137.659,0.0638,0.2659,720916,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm"
2010,720917,82576.114,1.5177,0.7225,10525.115,0.1094,0.27749999999999997,720917,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm"
2010,720918,38192.454,1.442,0.7293,3420.738,0.0355,0.27070000000000005,720918,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm"
2010,720925,459.723,0.3535,0.7406,4136.272,0.043,0.25939999999999996,720925,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more"
2010,720926,2573.886,0.5372,0.749,7943.087,0.0826,0.251,720926,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm"
2010,720927,9009.651,2.2309,0.7116,420.546,0.0043,0.2884,720927,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm"
2010,720928,228.918,0.3595,0.7591,,,0.2409,720928,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm"
2010,720990,9172.6,2.742,0.6907,7016.062,0.0729,0.3093,720990,"Iron or non-alloy steel: flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209"
2010,721011,4342.585,3.4023,0.7233,5344.879,0.0555,0.27669999999999995,721011,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of 0.5mm or more"
2010,721012,41158.906,1.0216,0.7458,58166.163,0.605,0.2542,721012,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of less than 0.5mm"
2010,721020,1093.238,1.0824,0.752,7.029,0.0,0.248,721020,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with lead, including terne-plate"
